MÓDULO;CRITÉRIOS;AVISO / ERRO;NÚMERO;MENSAGEM;TABELA;NATUREZA REGRA;ENTIDADES
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo = 1, nrVersao >, cdIndicador e nrAnoInclusao = 2013) existir na tabela (ammPlanoIndicador) PARTE 2.  a regra deve exigir que os dados dos campos (idPessoa e cdIndicador)  sejam declarados nos campos (idPessoa e cdIndicador) da tabela (Indicador).;ERRO;5010;O Indicador nº 9999 do Escopo = 1 - PPA, existe na última versão do SIM-AM 2012 e não foi declarado na tabela (Indicador).;Indicador;Abertura do Exercício, exclusiva para 2013;Prefeitura
Tesouraria;"PARTE 1. Se a soma de (vlDebito) do conjunto (idPessoa, mês e ano = até o de trabalho e idTipoOperacaoFinanceira = 7) da tabela 
 (MovimentoDiarioContaBancaria) para o idOrigemDestino da mesma combinação, existente na tabela (RegularizacaoMovimentoDiarioContaBancaria) for <>  PARTE 2. da soma de (vlOperacao) do conjunto (idPessoa, idOrigemDestino, idTipoFluxoInterferencia = 1, idTipoOperacaoPagamento = 2,
 acumulado no ano até o mês de trabalho) a mensagem deve ser executada. ";ERRO;5011;"A soma das transferências financeiras recebidas acumuladas no ano  até o mês de trabalho do idPessoa = xxxx' de R$ xxxxx  ,declarada no campo (vlDebito) da tabela (MovimentoDiarioContaBancaria) com (idTipoOperacaoFinanceira) = 7 - Transferências Financeiras ' +
  ' é diferente do valor de R$  xxxx referente os Ingressos existentes na tabela (TransferenciaFinanceira) com (idTipoFluxoInterferencia = 1 e idTipoOperacaoPagamento = 2) para o referido idPessoa.
 ";MovimentoDiarioContaBancaria;Movimento Mensal Normal;Todas, exceto Empresa Pública Municipal, Sociedade de Economia Mista Municipal, Fundação Pública de Direito Privado, Secretaria e Organização Social.
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdIndicador e cdControleLeiAto) existir na tabela (Indicador) PARTE 2.  e não existir nos campos (idPessoa, cdIndicador e cdControleLeiAtoIndicador) da tabela (MovimentoIndicador) com (idTipoMovimento) = 1 a mensagem deve ser executada.;ERRO;5012;O (cdIndicador) nº 9999  do (cdControleLeiAto) nº 9999999 foi declarado na tabela (Indicador) e não existe na tabela (MovimentoIndicador) com (idTipoMovimento) = 1 - Inclusão.;MovimentoIndicador;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. O conjunto (idPessoa, cdIndicador e cdControleLeiAto) existe na tabela (Indicador) com (cdControleLeiAto)  vinculado na tabela (LeiAto) ao (idEscopo = 1), porém, PARTE 2. não existe (nrMedidaEsperada) para o ano base (nrAnoBase = 2013) para o conjunto (idPessoa, cdIndicador, cdControleLeiAto) na tabela (MedidaEsperadaIndicador).;ERRO;5014;O (cdIndicador) nº 9999  do (cdControleLeiAto) nº 9999999, refere-se a última versão do Plano PPA de 2012, foi declarado na tabela (Indicador), porém,  não apresenta Medida Esperada (nrMedidaEsperada) para o ano base  = 2013 na tabela (MedidaEsperadaIndicador). ;MedidaEsperadaIndicador;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;"PARTE 1. Se o conjunto (idPessoa, cdPrograma e cdControleLeiAto com idEscopo = 1 na tabela LeiAto) existir na tabela (Programa) com o campo (flFinalistico = ""S"") na tabela (MovimentoPrograma) PARTE 2. a regra deve exigir que os dados sejam declarados  nos campos (idPessoa, cdPrograma e cdControleLeiAtoPrograma) da tabela (ProgramaXIndicador). ";ERRO;5015;O Programa nº 9999 do Controle de Lei/Ato nº 9999 da Lei do Plano Plurianual - PPA, foi declarado na tabela (Programa) e não está vinculado com nenhum Indicador na tabela (ProgramaXIndicador).;ProgramaXIndicador;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdIndicador e cdControleLeiAto com idEscopo = 1 na tabela LeiAto) existir na tabela (Indicador) PARTE 2. a regra deve exigir que  os dados sejam declarados  nos campos (idPessoa, cdIndicador e cdControleLeiAtoIndicador) da tabela (ProgramaXIndicador).;ERRO;5016;O Indicador nº 9999 do Controle de Lei/Ato nº 9999 da Lei do Plano Plurianual - PPA, foi declarado na tabela (Indicador) e não está vinculado com nenhum Programa na tabela (ProgramaXIndicador).;ProgramaXIndicador;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdPrograma e cdControleLeiAtoPrograma e dtCancelamento >) declarado na tabela (CancelamentoProgramaXIndicador) não estiver cancelado com (idTipoMovimento = 4) e (dtMovimento => dtCancelamento) na tabela (MovimentoPrograma) PARTE 2. a regra deve exigir novo vínculo do conjunto (idPessoa, cdPrograma e cdControleLeiAtoPrograma). OBS: A data de cancelamento está na tabela (CancelamentoProgramaXIndicador). ;ERRO;5017;O Programa  nº 9999 do Controle de Lei/Ato nº 9999 da Lei do Plano Plurianual - PPA, foi declarado na tabela (CancelamentoProgramaXIndicador) em DD/MM/AAAA. Porém, é necessário novo vínculo com outro Indicador, tendo em vista que o Programa não apresenta registro de cancelamento na tabela (MovimentoPrograma).;CancelamentoProgramaXIndicador;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdIndicador e cdControleLeiAtoIndicador e dtCancelamento >) declarado na tabela (CancelamentoProgramaXIndicador) não estiver cancelado com (idTipoMovimento = 4) e (dtMovimento => dtCancelamento) na tabela (MovimentoIndicador) PARTE 2. a regra deve exigir novo vínculo do conjunto (idPessoa, cdIndicador e cdControleLeiAtoIndicador).;ERRO;5018;O Indicador  nº 9999 do Controle de Lei/Ato nº 9999 da Lei do Plano Plurianual - PPA, foi declarado na tabela (CancelamentoProgramaXIndicador) em DD/MM/AAAA. Porém, é necessário novo vínculo com outro Programa, tendo em vista que o Indicador não apresenta registro de cancelamento na tabela (MovimentoIndicador).;CancelamentoProgramaXIndicador;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAto) existir na tabela (Acao) PARTE 2. e não existir nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (MovimentoAcao) com (idTipoMovimento) = 1 a mensagem deve ser executada.;ERRO;5019;A Ação (cdAcao) nº 9999  do (cdControleLeiAto) nº xxxxxxx foi declarada na tabela (Acao) e não existe na tabela (MovimentoAcao) com (idTipoMovimento) = 1 - Inclusão.;MovimentoAcao;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo = 1, nrVersao >, cdAcao, cdPrograma, idExecutor, cdFuncao, cdSubFuncao, nrAnoInclusao = 2012 e dtCancelamento = IS NULL) existir na tabela (ammPlanoAcao) PARTE 2. a regra deve exigir que os dados mencionados sejam declarados  nos campos (idPessoa, cdEscopo2012 = 1, nrAnoInicio2012 = 2010, nrVersao2012 >, cdPrograma2012, cdAcao2012, idExecutor2012, cdFuncao2012 e cdSubFuncao2012) da tabela (AcaoXAcao2012).;ERRO;5020;O conjunto (cdAcao nº 9999, cdPrograma nº 9999,  cdEscopo = 1 - Plano Plurianual - PPA, idExecutor nº 9999999, cdFuncao nº 99 e cdSubFuncao nº 999) existe na última versão declarada em 2012 e não consta na tabela (AcaoXAcao2012). O valor do campo (nrAnoInicio2012 deve ser = 2010.;AcaoXAcao2012;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo = 4,  nrVersao >, cdAcao, cdPrograma, idExecutor, cdFuncao = 10, cdSubFuncao, nrAnoInclusao = 2012 e dtCancelamento = ISNULL) existir na tabela (ammPlanoAcao) PARTE 2. a regra deve exigir que os dados mencionados sejam declarados  nos campos (idPessoa, cdEscopo2012 = 4, nrAnoInicio2012 = 2010, nrVersao2012 >, cdPrograma2012, cdAcao2012, idExecutor2012, cdFuncao2012 e cdSubFuncao2012) da tabela (AcaoXAcao2012). ;ERRO;5021;O conjunto (cdAcao nº 9999, cdPrograma nº 9999,  cdEscopo = 4 - Plano Municipal de Saúde - PMS, idExecutor nº 9999999, cdFuncao nº 99 e cdSubFuncao nº 999) existe na última versão declarada em 2012 e não consta na tabela (AcaoXAcao2012). O valor do campo (nrAnoInicio2012 deve ser = 2010.;AcaoXAcao2012;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo = 5,  nrVersao >, cdAcao, cdPrograma, idExecutor, cdFuncao, cdSubFuncao, nrAnoInclusao = 2012 e dtCancelamento = ISNULL) existir na tabela (ammPlanoAcao) PARTE 2. a regra deve exigir que os dados mencionados sejam declarados  nos campos (idPessoa, cdEscopo2012 = 5, nrAnoInicio2012 = 2010, nrVersao2012 >, cdPrograma2012, cdAcao2012, idExecutor2012, cdFuncao2012 e cdSubFuncao2012) da tabela (AcaoXAcao2012).;ERRO;5022;O conjunto (cdAcao nº 9999, cdPrograma nº 9999,  cdEscopo = 5 - Plano de Ações dos Direitos da Criança e do Adolescente - ECA/FMDCA, idExecutor nº 9999999, cdFuncao nº 99 e cdSubFuncao nº 999) existe na última versão declarada em 2012 e não consta na tabela (AcaoXAcao2012). O valor do campo (nrAnoInicio2012 deve ser = 2010.;AcaoXAcao2012;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo2012, nrAnoInicio2012, nrVersao2012, cdPrograma2012, cdAcao2012, idExecutor2012, cdFuncao2012 e cdSubFuncao2012) declarado na tabela (AcaoXAcao2012) PARTE 2. não existir na tabela (ammPlanoAcao) com a seguinte combinação: (idPessoa, cdEscopo,  nrVersao >, cdAcao, cdPrograma, idExecutor, cdFuncao, cdSubFuncao e nrAnoInclusao = 2012) a mensagem deve ser executada. ;ERRO;5023;A Ação nº 9999 declarada na tabela (AcaoXAcao2012) para a combinação (Programa nº 9999, Escopo nº 999999, Executor nº 9999999, Função nº 99 e SubFunção nº 999) não existe na última versão do respectivo plano, informada no SIM-AM 2012.;AcaoXAcao2012;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao) existir na tabela (Acao) PARTE 2. a regra deve exigir vinculação com (idPessoa, cdPrograma e cdControleLeiAtoPrograma) na tabela (AcaoXPrograma). ;ERRO;5026;A Ação nº 9999 do Controle de Lei/Ato nº 9999999 existe na tabela (Acao) e não está vinculada com nenhum Programa na tabela (AcaoXPrograma).;AcaoXPrograma;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao) declarado na tabela (CancelamentoAcaoXPrograma) não estiver cancelado com (idTipoMovimento = 4) e (dtMovimento => dtCancelamento) na tabela (MovimentoAcao) PARTE 2. a regra deve exigir novo vínculo do conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao) com outra combinação de Programa (idPessoa, cdPrograma, cdControleLeiAtoPrograma).;ERRO;5027;A ação nº 9999 do Controle de Lei/Ato nº 9999999, apresenta cancelamento do vínculo com o programa na tabela (CancelamentoAcaoXPrograma) em DD/MM/AAAA, sem que esteja cancelada, portanto, é necessário novo vínculo com outro programa.;CancelamentoAcaoXPrograma;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao com idEscopo = 1, 4 ou 5 e nrAnoInicialAplicacao = 2010 da tabela LeiAto) existir na tabela (Acao) PARTE 2. a regra deve exigir os dados sejam informados na seguinte combinação (idPessoa, cdControleLeiAtoAcao e nrAno = 2013) na tabela (AcaoAno).;ERRO;5029;A Ação nº 9999 do Controle de Lei/Ato nº 9999,   existe na tabela (Acao), portanto, não foi declarada para o ano de 2013 na tabela (AcaoAno);AcaoAno;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao, cdControleLeiAtoAcao e nrAno) existir na tabela (AcaoAno) PARTE 2. a regra deve exigir que o referido conjunto seja declarado na tabela (MovimentoAcaoAno) com o campo (idTipoMovimento = 1).   ;ERRO;5030;A Ação nº 9999 do Controle de Lei/Ato nº 9999999, existe na tabela (AcaoAno) para o ano AAAA, porém, não foi declarada na tabela (MovimentoAcaoAno).;MovimentoAcaoAno;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1.  Se a soma de (vlOperacao) do conjunto (idPessoa, nrAno = 2013, idTipoMovimento = 1 e cdControleLeiAtoAcao) da tabela (MovimentoAcaoAno), sendo que o cdControleLeiAtoAcao deve existir na tabela (LeiAto) com idEscopo = 1 e nrAnoInicialAplicacao = 2010, FOR <> PARTE 2. da soma de (vlDebito - vlCredito) do conjunto (idPessoa, nrAnoAplicacao = 2013, idTipoMovimentoContabil = 1 e cdClasse+cdGrupo+cdSubGrupo = '511') da tabela (MovimentoContabilMensal) a mensagem deve ser executada. ;ERRO;5031;A soma de todas as ações da Lei do Plano Plurianual de R$- 0.00, declarada na tabela (MovimentoAcaoAno) para o ano de 2013, não mantém correspondência com o valor dos DÉDITOS - CRÉDITOS de R$- 0.00 contabilizado na conta contábil = 5.1.1 - PPA - APROVADO da tabela (MovimentoContabilMensal).  ;MovimentoAcaoAno;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao), com o  (cdControleLeiAtoAcao vinculado com idEscopo = 1 na tabela LeiAto) existir na tabela (Acao) a regra deve verificar na tabela (MovimentoAcao) se a combinação está vinculada com (cdFuncao = 10, idTipoAcao <> 5  e 6, nrMovimento > com idTipoMovimento = 1) PARTE 2. e se estiver, deverá exigir que a combinação (idPessoa, cdAcao e cdControleLeiAtoAcao) seja informada nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (CorrelacaoAcao)  sendo que o plano correlacionado deve ser declarado nos campos (idPessoa, cdAcaoCor e cdControleLeiAtoCor) e o (cdControleLeiAtoAcaoCor deve estar vinculado com idEscopo = 4 na tabela LeiAto)  OU se a ação não manter compatibilidade com o plano correlacionado a regra deve exigir que a combinação com (idEscopo = 1) seja declarada nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (AcaoNaoCorrelacionada) com (idTipoControleAcao = 1). ;ERRO;5032;A Ação nº 9999 do Controle de Lei/Ato nº 9999999, da Lei do Plano Plurianual - PPA,  existe na tabela (MovimentoAcao), porém, não foi correlacionada com o Plano Municipal de Saúde - PMS, na tabela (CorrelacaoAcao) OU não havendo compatibilidade a ação deve ser declarada na tabela (AcaoNaoCorrelacionada).;CorrelacaoAcao;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao), com o  (cdControleLeiAtoAcao vinculado com idEscopo = 1 na tabela LeiAto) existir na tabela (Acao) a regra deve verificar na tabela (MovimentoAcao) se a combinação está vinculada com (idTipoAcao = 5  e 6 e nrMovimento > com idTipoMovimento = 1) PARTE 2. e se estiver, deverá exigir que a combinação (idPessoa, cdAcao e cdControleLeiAtoAcao) seja informada nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (CorrelacaoAcao)  sendo que o plano correlacionado deve ser declarado nos campos (idPessoa, cdAcaoCor e cdControleLeiAtoCor) e o (cdControleLeiAtoAcaoCor deve estar vinculado com idEscopo = 5 na tabela LeiAto)  OU se a ação não manter compatibilidade com o plano correlacionado a regra deve exigir que a combinação com (idEscopo = 1) seja declarada nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (AcaoNaoCorrelacionada) com (idTipoControleAcao = 1). ;ERRO;5033;A Ação nº 9999 do Controle de Lei/Ato nº 9999999, da Lei do Plano Plurianual - PPA,  existe na tabela (MovimentoAcao), porém, não foi correlacionada com o Plano de Ações dos direitos da Criança e do Adolescente - ECA/FMDCA, na tabela (CorrelacaoAcao) OU não havendo compatibilidade, deve ser declarada na tabela (AcaoNaoCorrelacionada).;CorrelacaoAcao;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao), com o  (cdControleLeiAtoAcao vinculado com idEscopo = 4 na tabela LeiAto) existir na tabela (Acao) PARTE 2.  a regra deve exigir que a combinação (idPessoa, cdAcao e cdControleLeiAtoAcao) seja informada nos campos (idPessoa, cdAcaoCor e cdControleLeiAtoAcaoCor) da tabela (CorrelacaoAcao)  sendo que o plano correlacionado deve ser declarado nos campos (idPessoa, cdAcaor e cdControleLeiAto) e o (cdControleLeiAtoAcao deve estar vinculado com idEscopo = 1 na tabela LeiAto) e ainda o plano correlacionado deve  existir na tabela (MovimentoAcao) vinculado com (cdFuncao = 10, nrMovimento > e idTipoMovimento = 1) OU se a ação não manter compatibilidade com o plano correlacionado a regra deve exigir que a combinação com (idEscopo = 4) seja declarada nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (AcaoNaoCorrelacionada) com (idTipoControleAcao = 1). ;ERRO;5034;A Ação nº 9999 do Controle de Lei/Ato nº 9999999, do Plano Municipal de Saúde - PMS,  existe na tabela (MovimentoAcao), porém, não foi correlacionada na tabela (CorrelacaoAcao) OU não havendo compatibilidade, deve ser declarada na tabela (AcaoNaoCorrelacionada).;CorrelacaoAcao;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdAcao e cdControleLeiAtoAcao), com o  (cdControleLeiAtoAcao vinculado com idEscopo = 5 na tabela LeiAto) existir na tabela (Acao)  a regra deve exigir que a combinação (idPessoa, cdAcao e cdControleLeiAtoAcao) seja informada nos campos (idPessoa, cdAcaoCor e cdControleLeiAtoAcaoCor) da tabela (CorrelacaoAcao)  sendo que o plano correlacionado deve ser declarado nos campos (idPessoa, cdAcao e cdControleLeiAto) e o (cdControleLeiAtoAcao) deve estar vinculado com idEscopo = 1 na tabela - LeiAto) e ainda o plano correlacionado deve  existir na tabela (MovimentoAcao) vinculado com (idTipoAcao = 5  e 6, nrMovimento > e idTipoMovimento = 1) OU se a ação não manter compatibilidade com o plano correlacionado a regra deve exigir que a combinação com (idEscopo = 5) seja declarada nos campos (idPessoa, cdAcao e cdControleLeiAtoAcao) da tabela (AcaoNaoCorrelacionada) com (idTipoControleAcao = 1). ;ERRO;5035;A Ação nº 9999 do Controle de Lei/Ato nº 9999999, do Plano de Ações dos Direitos da Criança e do Adolescente - ECA/FMDCA,  existe na tabela (MovimentoAcao), porém, não foi correlacionada na tabela (CorrelacaoAcao) OU não havendo compatibilidade, deve ser declarada na tabela (AcaoNaoCorrelacionada). OBS: A Ação do PPA correlacionada deve obrigatoriamente estar vinculada com (idTipoAcao = 5 ou 6) na tabela (MovimentoAcao).;CorrelacaoAcao;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
